release_date,sentiment_analysis,user_id
2018-01-04,1.0,Wackky
2018-01-04,0.0,kevinator23
2017-07-24,2.0,Lord_Exploit
2018-01-04,1.0,2768820078
2018-01-04,2.0,1337lolroflmao
2018-01-04,0.0,Mastic
2018-01-04,2.0,Mastic
2018-01-04,1.0,76561198104393251
2018-01-03,0.0,H1DD3NT3RR0R
2018-01-03,0.0,H1DD3NT3RR0R
2018-01-03,0.0,pikawuu2
2018-01-03,2.0,76561198145436942
2018-01-03,2.0,Forty-Nine
2018-01-03,0.0,750805
2017-12-22,0.0,750805
2017-12-23,0.0,76561198054465623
2018-01-03,2.0,76561198074323290
1997-06-30,0.0,76561198003056556
1998-11-08,0.0,AMV72
2016-11-25,1.0,76561198039441595
2018-01-01,0.0,armouredmarshmallow
2018-01-01,2.0,armouredmarshmallow
2006-07-06,0.0,armouredmarshmallow
2006-07-06,2.0,armouredmarshmallow
2006-07-11,0.0,Astrelt
2017-12-29,2.0,76561198056980314
2017-12-29,2.0,76561198057389499
2017-12-29,0.0,76561198030735076
2017-12-29,1.0,Bonesdontrattlethem
2017-12-30,0.0,76561198062403736
2005-08-09,0.0,hididdlyhoe
2006-09-29,0.0,dicksoutforboromir
2006-11-20,0.0,ByzGirl
2006-11-29,2.0,calii
2006-11-24,2.0,76561198058842042
2006-12-14,0.0,Axzothrift
2006-12-19,2.0,chidvd
2003-08-23,2.0,SmeshDoge
2006-12-21,2.0,harrisonnorris
2006-04-17,0.0,76561198142474106
2006-08-01,0.0,ciborg2000
2005-07-12,2.0,Norf_Norf
2007-06-26,1.0,Norf_Norf
2006-07-24,1.0,Norf_Norf
2002-11-12,1.0,Norf_Norf
2000-11-17,1.0,Norf_Norf
2006-07-24,2.0,Norf_Norf
2003-10-23,2.0,Norf_Norf
2006-10-16,2.0,76561198041840982
1998-10-31,0.0,76561198126142125
1995-04-01,1.0,cruzercru
2007-06-05,0.0,76561198044594262
2006-05-23,0.0,blablabla174
2006-10-17,1.0,digfernandes
1996-06-17,1.0,digfernandes
2006-12-20,2.0,DrVendax
1995-04-30,2.0,DrVendax
1995-06-01,0.0,XavvPlays
1994-05-05,2.0,76561198103524411
1994-08-03,2.0,izumireina
2001-11-20,2.0,BajanCanidian
1997-02-28,2.0,Fluphy_
1993-10-10,2.0,Frankaloons
2003-09-09,1.0,idsoftwaresquake
2007-08-03,2.0,Gterrestrial
2007-05-31,2.0,Halio99
2007-03-20,0.0,DeliciousPuddin
2006-01-01,0.0,harrylolman
2007-08-21,2.0,fil96
2006-01-01,2.0,TDOJ3DTDO
2006-10-09,1.0,Hollowfun
2004-09-22,2.0,IrishNZ
2006-06-26,2.0,tickets845
2007-12-14,2.0,Infinitespeed
2004-04-20,0.0,76561198088860621
2003-07-01,0.0,ironcass
2003-10-14,2.0,ironcass
2006-04-07,0.0,ironcass
2001-07-25,2.0,ironcass
2008-10-28,2.0,jdrocks
2007-10-10,2.0,xexilex
2007-10-23,2.0,aligindahousebabykosha
2007-08-01,1.0,1234567io9872345678765432
2007-09-01,2.0,1234567io9872345678765432
2007-12-03,2.0,1234567io9872345678765432
2008-02-08,2.0,JunG00berfuckingsucks
2007-05-08,2.0,Justmatel
2006-05-02,0.0,76561198075749223
2007-10-16,1.0,Snoresville
2006-05-30,0.0,76561198055670224
2006-10-26,0.0,76561198055670224
2005-03-14,2.0,76561198055670224
2003-02-03,2.0,76561198080125105
1998-04-30,2.0,Lickidactyl
2008-03-21,2.0,linksupersayan
2003-02-18,0.0,dietrich1998
2004-03-23,2.0,companothemuslim
2000-10-25,0.0,76561198095766418
2006-12-12,2.0,G0LDENGUNNER
2005-03-15,2.0,76561198063274178
2008-05-28,2.0,76561198063274178
2008-06-04,1.0,76561198063274178
2008-06-10,1.0,SpecGames
2008-06-10,0.0,meeeedie
2008-06-10,2.0,tehbluscoot
2008-06-10,0.0,tehbluscoot
2005-12-08,2.0,stealthysteve
2007-11-13,0.0,stealthysteve
2007-11-13,2.0,SwinburnCyphenMisslemike
2005-12-08,1.0,76561198101552611
2007-03-27,0.0,76561198095856407
2007-03-20,0.0,whiteruby3
2006-12-15,2.0,MrPickle255
2008-03-24,0.0,mwanan
2005-09-15,2.0,76561198012741239
2005-07-02,1.0,PiozZ
2006-04-12,0.0,PandaCorn666
2008-07-29,0.0,Karetchi
